City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Grand Gaube,MU,75.99,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
242,Hithadhoo,MV,82.06,scattered clouds,-0.6,73.0833,Scoop Guest House
243,Ambulu,ID,83.21,few clouds,-8.345,113.6058,Hotel Ambulu Jember
244,Melilla,ES,57.2,overcast clouds,35.2937,-2.9383,Hotel Nacional
247,Malakal,SS,81.07,clear sky,9.5334,31.6605,Nile Palace Hotel
251,Meulaboh,ID,81.18,broken clouds,4.1363,96.1285,Kost Pria
252,Rabaul,PG,82.67,broken clouds,-4.1967,152.1721,Rabaul Hotel
253,Kavaratti,IN,83.77,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
254,Poum,NC,78.1,overcast clouds,-20.2333,164.0167,Gîte kajeon
256,Sao Filipe,CV,76.33,scattered clouds,14.8961,-24.4956,Tortuga B&B
257,Mahibadhoo,MV,83.03,broken clouds,3.7833,72.9667,Omadhoo Inn
259,Namatanai,PG,85.35,scattered clouds,-3.6667,152.4333,Namatanai Hotel
260,Port Macquarie,AU,82.0,few clouds,-31.4333,152.9167,Rydges Port Macquarie
261,Lydenburg,ZA,51.01,scattered clouds,-25.0978,30.4597,The Palms Boutique Hotel
262,Broome,US,53.6,overcast clouds,42.2506,-75.833,Chenango Valley State Park
264,Bandarbeyla,SO,79.75,overcast clouds,9.4942,50.8122,JABIR HOTEL
265,Carnarvon,AU,80.31,clear sky,-24.8667,113.6333,Hospitality Carnarvon
266,Kailua,US,82.4,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
267,General Roca,AR,55.4,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
268,Ponta Delgada,PT,57.2,few clouds,37.7333,-25.6667,Vila Nova Hotel
269,Mackay,AU,82.0,scattered clouds,-21.15,149.2,International Lodge Motel
270,Cape Canaveral,US,73.4,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
273,Norman Wells,CA,50.0,broken clouds,65.282,-126.8329,Heritage Hotel
276,Vaijapur,IN,66.2,haze,19.9167,74.7333,HOTEL MATOSHRI
277,Ichinohe,JP,50.04,overcast clouds,40.2069,141.3017,鳥越旅館
278,Kurayoshi,JP,53.6,broken clouds,35.4333,133.8167,Hotel Ark 21
279,Dunedin,NZ,60.01,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
283,Abha,SA,64.4,clear sky,18.2164,42.5053,Abha Hotel
288,Pangai,TO,82.4,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
291,Kimbe,PG,88.79,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
292,Kirakira,SB,84.92,overcast clouds,-10.4544,161.9205,SanBiz Lodge
294,Quelimane,MZ,72.57,broken clouds,-17.8786,36.8883,Hotel Flamingo
295,Shenjiamen,CN,53.44,overcast clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
299,Djibo,BF,86.05,few clouds,14.1022,-1.6306,Centre Des Ressources DPENA
300,Port Lincoln,AU,67.08,few clouds,-34.7333,135.8667,Port Lincoln Hotel
